--------------------------------------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------------------------------------
t=0.11s | view=populations | zeros=False
anterior_pituitary SOMATOTROPES                  1     0.0125     0.0150
anterior_pituitary LACTOTROPES                   1     0.0126     0.0151
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0151
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0125     0.0150
lgn             RELAY_CELLS                  35     0.3143     0.0151
md              RELAY_CELLS                  50     0.4572     0.0150
mgb             RELAY_CELLS                  35     0.3144     0.0151
pulvinar        RELAY_CELLS                  50     0.4574     0.0151
trn             TRN_GABA                     50    18.0189     0.4030
vpl             RELAY_CELLS                  35     0.3148     0.0151
vpl             LOCAL_INTERNEURONS           35     0.4395     0.0151
vpm             RELAY_CELLS                  35     0.3148     0.0151
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
--------------------------------------------------------------------------------------------------------------
t=0.20s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    13.6721     0.6118
gpi             GPi_OUTPUT                   25    20.9648     0.7673
snc             DOPAMINERGIC_NEURONS         20     0.1844     0.0151
stn             EXCITATORY_NEURONS           25     0.2238     0.0151
striatum        D1_MSN                       50     0.4605     0.0151
striatum        D2_MSN                       50     0.6323     0.0151
striatum        INTERNEURONS                 50     0.6320     0.0151
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0151
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0128     0.0152
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0924     0.0151
raphe           SEROTONERGIC_NEURONS         10     0.0919     0.0151
vta             DOPAMINERGIC_NEURONS         20     0.1842     0.0151
vta             GABA_INTERNEURONS            20     0.2529     0.0151
cerebellar_cortex GRANULE_CELLS               300     2.7624     0.0151
cerebellar_cortex PURKINJE_CELLS              300     3.7934     0.0151
cerebellar_cortex INTERNEURONS                300     3.7970     0.0151
deep_nuclei     OUTPUT_NEURONS               50     0.4606     0.0151
a1              L4_EXCITATORY               200     1.8417     0.0151
a1              L2_3_PYRAMIDAL              200     2.5272     0.0151
a1              L6_PYRAMIDAL                200     2.5311     0.0151
a1              INTERNEURONS                200     2.5292     0.0151
insula          L2_3_PYRAMIDAL              200     1.8416     0.0151
insula          L5_PYRAMIDAL                200     2.5298     0.0151
insula          INTERNEURONS                200     2.5325     0.0151
m1              L2_3_PYRAMIDAL              200     1.8417     0.0151
m1              L5_PYRAMIDAL                200     2.5288     0.0151
m1              INTERNEURONS                200     2.5310     0.0151
s1              L4_EXCITATORY               200     1.8419     0.0151
s1              L2_3_PYRAMIDAL              200     2.5295     0.0151
s1              L5_PYRAMIDAL                200     2.5299     0.0151
s1              L6_PYRAMIDAL                200     2.5293     0.0151
s1              INTERNEURONS                200     2.5307     0.0151
v1              L4_EXCITATORY               200     1.8419     0.0151
v1              L2_3_PYRAMIDAL              200     2.5324     0.0151
v1              L5_PYRAMIDAL                200     2.5309     0.0151
v1              L6_PYRAMIDAL                200     2.5304     0.0151
v1              INTERNEURONS                200     2.5303     0.0151
ca1             PYRAMIDAL_CELLS             100     0.9209     0.0151
ca1             INTERNEURONS                100     1.2654     0.0151
ca3             PYRAMIDAL_CELLS             150     1.3803     0.0151
ca3             INTERNEURONS                150     1.8976     0.0151
dentate_gyrus   GRANULE_CELLS               150     1.3813     0.0151
dentate_gyrus   INTERNEURONS                150     1.8965     0.0151
subiculum       PYRAMIDAL_CELLS             100     0.9206     0.0151
association_cortex L2_3_PYRAMIDAL              200     1.8419     0.0151
association_cortex L5_PYRAMIDAL_A              200     2.5282     0.0151
association_cortex L5_PYRAMIDAL_B              200     2.5283     0.0151
association_cortex INTERNEURONS                200     2.5289     0.0151
Intralaminar    RELAY_NEURONS                50     0.6322     0.0151
pfc             L2_3_PYRAMIDAL              200     1.8417     0.0151
pfc             L5_POLICY_A                 200     2.5294     0.0151
pfc             L5_POLICY_B                 200     2.5280     0.0151
pfc             L5_PYRAMIDAL_B              200     2.5285     0.0151
pfc             L6_PYRAMIDAL                200     2.5299     0.0151
pfc             INTERNEURONS                200     2.5298     0.0151
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0403     0.0151
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0632     0.0151
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0633     0.0151
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0634     0.0151
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0152
anterior_pituitary THYROTROPES                   1     0.0126     0.0151
anterior_pituitary GONADOTROPES                  1     0.0126     0.0151
anterior_pituitary SOMATOTROPES                  1     0.0126     0.0151
anterior_pituitary LACTOTROPES                   1     0.0127     0.0151
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0152
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0126     0.0151
lgn             RELAY_CELLS                  35     0.3161     0.0151
md              RELAY_CELLS                  50     0.4606     0.0151
mgb             RELAY_CELLS                  35     0.3166     0.0151
pulvinar        RELAY_CELLS                  50     0.4605     0.0151
trn             TRN_GABA                     50    18.1203     0.4054
vpl             RELAY_CELLS                  35     0.3171     0.0151
vpl             LOCAL_INTERNEURONS           35     0.4427     0.0151
vpm             RELAY_CELLS                  35     0.3172     0.0151
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
--------------------------------------------------------------------------------------------------------------
t=0.30s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    13.7889     0.6175
gpi             GPi_OUTPUT                   25    21.1752     0.7757
snc             DOPAMINERGIC_NEURONS         20     0.1860     0.0151
stn             EXCITATORY_NEURONS           25     0.2255     0.0151
striatum        D1_MSN                       50     0.4644     0.0152
striatum        D2_MSN                       50     0.6382     0.0151
striatum        INTERNEURONS                 50     0.6375     0.0151
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0151
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0129     0.0152
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0933     0.0152
raphe           SEROTONERGIC_NEURONS         10     0.0928     0.0151
vta             DOPAMINERGIC_NEURONS         20     0.1856     0.0151
vta             GABA_INTERNEURONS            20     0.2549     0.0151
cerebellar_cortex GRANULE_CELLS               300     2.7819     0.0151
cerebellar_cortex PURKINJE_CELLS              300     3.8264     0.0151
cerebellar_cortex INTERNEURONS                300     3.8288     0.0151
deep_nuclei     OUTPUT_NEURONS               50     0.4637     0.0152
a1              L4_EXCITATORY               200     1.8550     0.0151
a1              L2_3_PYRAMIDAL              200     2.5499     0.0151
a1              L6_PYRAMIDAL                200     2.5531     0.0151
a1              INTERNEURONS                200     2.5514     0.0151
insula          L2_3_PYRAMIDAL              200     1.8554     0.0151
insula          L5_PYRAMIDAL                200     2.5525     0.0151
insula          INTERNEURONS                200     2.5548     0.0151
m1              L2_3_PYRAMIDAL              200     1.8559     0.0152
m1              L5_PYRAMIDAL                200     2.5502     0.0151
m1              INTERNEURONS                200     2.5546     0.0151
s1              L4_EXCITATORY               200     1.8560     0.0152
s1              L2_3_PYRAMIDAL              200     2.5532     0.0151
s1              L5_PYRAMIDAL                200     2.5534     0.0151
s1              L6_PYRAMIDAL                200     2.5540     0.0151
s1              INTERNEURONS                200     2.5518     0.0151
v1              L4_EXCITATORY               200     1.8558     0.0151
v1              L2_3_PYRAMIDAL              200     2.5550     0.0151
v1              L5_PYRAMIDAL                200     2.5521     0.0151
v1              L6_PYRAMIDAL                200     2.5513     0.0151
v1              INTERNEURONS                200     2.5528     0.0151
ca1             PYRAMIDAL_CELLS             100     0.9278     0.0151
ca1             INTERNEURONS                100     1.2753     0.0151
ca3             PYRAMIDAL_CELLS             150     1.3906     0.0151
ca3             INTERNEURONS                150     1.9141     0.0151
dentate_gyrus   GRANULE_CELLS               150     1.3917     0.0152
dentate_gyrus   INTERNEURONS                150     1.9128     0.0151
subiculum       PYRAMIDAL_CELLS             100     0.9278     0.0151
association_cortex L2_3_PYRAMIDAL              200     1.8552     0.0151
association_cortex L5_PYRAMIDAL_A              200     2.5499     0.0151
association_cortex L5_PYRAMIDAL_B              200     2.5515     0.0151
association_cortex INTERNEURONS                200     2.5501     0.0151
Intralaminar    RELAY_NEURONS                50     0.6370     0.0151
pfc             L2_3_PYRAMIDAL              200     1.8551     0.0151
pfc             L5_POLICY_A                 200     2.5527     0.0151
pfc             L5_POLICY_B                 200     2.5497     0.0151
pfc             L5_PYRAMIDAL_B              200     2.5521     0.0151
pfc             L6_PYRAMIDAL                200     2.5511     0.0151
pfc             INTERNEURONS                200     2.5539     0.0151
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0405     0.0151
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0638     0.0151
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0639     0.0151
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0640     0.0152
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0153
anterior_pituitary THYROTROPES                   1     0.0127     0.0151
anterior_pituitary GONADOTROPES                  1     0.0127     0.0151
anterior_pituitary SOMATOTROPES                  1     0.0127     0.0151
anterior_pituitary LACTOTROPES                   1     0.0128     0.0151
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0152
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0127     0.0151
lgn             RELAY_CELLS                  35     0.3183     0.0151
md              RELAY_CELLS                  50     0.4647     0.0151
mgb             RELAY_CELLS                  35     0.3188     0.0151
pulvinar        RELAY_CELLS                  50     0.4637     0.0151
trn             TRN_GABA                     50    18.2310     0.4081
vpl             RELAY_CELLS                  35     0.3199     0.0152
vpl             LOCAL_INTERNEURONS           35     0.4467     0.0151
vpm             RELAY_CELLS                  35     0.3194     0.0152
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
--------------------------------------------------------------------------------------------------------------
t=0.40s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    13.9031     0.6231
gpi             GPi_OUTPUT                   25    21.3794     0.7838
snc             DOPAMINERGIC_NEURONS         20     0.1870     0.0152
stn             EXCITATORY_NEURONS           25     0.2269     0.0152
striatum        D1_MSN                       50     0.4678     0.0152
striatum        D2_MSN                       50     0.6434     0.0152
striatum        INTERNEURONS                 50     0.6430     0.0152
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0152
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0131     0.0153
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0938     0.0152
raphe           SEROTONERGIC_NEURONS         10     0.0937     0.0152
vta             DOPAMINERGIC_NEURONS         20     0.1873     0.0152
vta             GABA_INTERNEURONS            20     0.2572     0.0152
cerebellar_cortex GRANULE_CELLS               300     2.8018     0.0152
cerebellar_cortex PURKINJE_CELLS              300     3.8610     0.0152
cerebellar_cortex INTERNEURONS                300     3.8619     0.0152
deep_nuclei     OUTPUT_NEURONS               50     0.4670     0.0152
a1              L4_EXCITATORY               200     1.8686     0.0152
a1              L2_3_PYRAMIDAL              200     2.5730     0.0152
a1              L6_PYRAMIDAL                200     2.5746     0.0152
a1              INTERNEURONS                200     2.5741     0.0152
insula          L2_3_PYRAMIDAL              200     1.8697     0.0152
insula          L5_PYRAMIDAL                200     2.5738     0.0152
insula          INTERNEURONS                200     2.5772     0.0152
m1              L2_3_PYRAMIDAL              200     1.8684     0.0152
m1              L5_PYRAMIDAL                200     2.5708     0.0152
m1              INTERNEURONS                200     2.5743     0.0152
s1              L4_EXCITATORY               200     1.8696     0.0152
s1              L2_3_PYRAMIDAL              200     2.5747     0.0152
s1              L5_PYRAMIDAL                200     2.5756     0.0152
s1              L6_PYRAMIDAL                200     2.5769     0.0152
s1              INTERNEURONS                200     2.5726     0.0152
v1              L4_EXCITATORY               200     1.8698     0.0152
v1              L2_3_PYRAMIDAL              200     2.5761     0.0152
v1              L5_PYRAMIDAL                200     2.5731     0.0152
v1              L6_PYRAMIDAL                200     2.5713     0.0152
v1              INTERNEURONS                200     2.5748     0.0152
ca1             PYRAMIDAL_CELLS             100     0.9346     0.0152
ca1             INTERNEURONS                100     1.2861     0.0152
ca3             PYRAMIDAL_CELLS             150     1.4012     0.0152
ca3             INTERNEURONS                150     1.9320     0.0152
dentate_gyrus   GRANULE_CELLS               150     1.4002     0.0152
dentate_gyrus   INTERNEURONS                150     1.9282     0.0152
subiculum       PYRAMIDAL_CELLS             100     0.9335     0.0152
association_cortex L2_3_PYRAMIDAL              200     1.8705     0.0152
association_cortex L5_PYRAMIDAL_A              200     2.5718     0.0152
association_cortex L5_PYRAMIDAL_B              200     2.5740     0.0152
association_cortex INTERNEURONS                200     2.5706     0.0152
Intralaminar    RELAY_NEURONS                50     0.6429     0.0152
pfc             L2_3_PYRAMIDAL              200     1.8687     0.0152
pfc             L5_POLICY_A                 200     2.5742     0.0152
pfc             L5_POLICY_B                 200     2.5714     0.0152
pfc             L5_PYRAMIDAL_B              200     2.5732     0.0152
pfc             L6_PYRAMIDAL                200     2.5735     0.0152
pfc             INTERNEURONS                200     2.5751     0.0152
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0406     0.0152
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0640     0.0152
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0646     0.0152
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0646     0.0152
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0153
anterior_pituitary THYROTROPES                   1     0.0128     0.0151
anterior_pituitary GONADOTROPES                  1     0.0128     0.0152
anterior_pituitary SOMATOTROPES                  1     0.0127     0.0151
anterior_pituitary LACTOTROPES                   1     0.0128     0.0152
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0153
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0129     0.0152
lgn             RELAY_CELLS                  35     0.3206     0.0152
md              RELAY_CELLS                  50     0.4676     0.0152
mgb             RELAY_CELLS                  35     0.3206     0.0152
pulvinar        RELAY_CELLS                  50     0.4673     0.0152
trn             TRN_GABA                     50    18.3395     0.4107
vpl             RELAY_CELLS                  35     0.3218     0.0152
vpl             LOCAL_INTERNEURONS           35     0.4500     0.0152
vpm             RELAY_CELLS                  35     0.3216     0.0152
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
--------------------------------------------------------------------------------------------------------------
t=0.50s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.0146     0.6285
gpi             GPi_OUTPUT                   25    21.5771     0.7916
snc             DOPAMINERGIC_NEURONS         20     0.1885     0.0152
stn             EXCITATORY_NEURONS           25     0.2281     0.0152
striatum        D1_MSN                       50     0.4715     0.0153
striatum        D2_MSN                       50     0.6487     0.0152
striatum        INTERNEURONS                 50     0.6487     0.0152
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0152
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0131     0.0153
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0944     0.0152
raphe           SEROTONERGIC_NEURONS         10     0.0942     0.0152
vta             DOPAMINERGIC_NEURONS         20     0.1890     0.0153
vta             GABA_INTERNEURONS            20     0.2593     0.0152
cerebellar_cortex GRANULE_CELLS               300     2.8223     0.0152
cerebellar_cortex PURKINJE_CELLS              300     3.8939     0.0152
cerebellar_cortex INTERNEURONS                300     3.8938     0.0152
deep_nuclei     OUTPUT_NEURONS               50     0.4704     0.0152
a1              L4_EXCITATORY               200     1.8828     0.0152
a1              L2_3_PYRAMIDAL              200     2.5943     0.0152
a1              L6_PYRAMIDAL                200     2.5956     0.0152
a1              INTERNEURONS                200     2.5967     0.0152
insula          L2_3_PYRAMIDAL              200     1.8826     0.0152
insula          L5_PYRAMIDAL                200     2.5961     0.0152
insula          INTERNEURONS                200     2.5982     0.0152
m1              L2_3_PYRAMIDAL              200     1.8823     0.0152
m1              L5_PYRAMIDAL                200     2.5924     0.0152
m1              INTERNEURONS                200     2.5966     0.0152
s1              L4_EXCITATORY               200     1.8833     0.0152
s1              L2_3_PYRAMIDAL              200     2.5958     0.0152
s1              L5_PYRAMIDAL                200     2.5985     0.0152
s1              L6_PYRAMIDAL                200     2.5971     0.0152
s1              INTERNEURONS                200     2.5941     0.0152
v1              L4_EXCITATORY               200     1.8826     0.0152
v1              L2_3_PYRAMIDAL              200     2.5974     0.0152
v1              L5_PYRAMIDAL                200     2.5956     0.0152
v1              L6_PYRAMIDAL                200     2.5933     0.0152
v1              INTERNEURONS                200     2.5963     0.0152
ca1             PYRAMIDAL_CELLS             100     0.9408     0.0152
ca1             INTERNEURONS                100     1.2973     0.0152
ca3             PYRAMIDAL_CELLS             150     1.4115     0.0152
ca3             INTERNEURONS                150     1.9483     0.0152
dentate_gyrus   GRANULE_CELLS               150     1.4105     0.0152
dentate_gyrus   INTERNEURONS                150     1.9449     0.0152
subiculum       PYRAMIDAL_CELLS             100     0.9400     0.0152
association_cortex L2_3_PYRAMIDAL              200     1.8832     0.0152
association_cortex L5_PYRAMIDAL_A              200     2.5933     0.0152
association_cortex L5_PYRAMIDAL_B              200     2.5961     0.0152
association_cortex INTERNEURONS                200     2.5928     0.0152
Intralaminar    RELAY_NEURONS                50     0.6482     0.0152
pfc             L2_3_PYRAMIDAL              200     1.8830     0.0152
pfc             L5_POLICY_A                 200     2.5954     0.0152
pfc             L5_POLICY_B                 200     2.5946     0.0152
pfc             L5_PYRAMIDAL_B              200     2.5958     0.0152
pfc             L6_PYRAMIDAL                200     2.5949     0.0152
pfc             INTERNEURONS                200     2.5961     0.0152
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0409     0.0152
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0646     0.0152
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0649     0.0152
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0653     0.0153
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0153
anterior_pituitary THYROTROPES                   1     0.0129     0.0152
anterior_pituitary GONADOTROPES                  1     0.0131     0.0153
anterior_pituitary SOMATOTROPES                  1     0.0128     0.0152
anterior_pituitary LACTOTROPES                   1     0.0130     0.0152
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0153
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0131     0.0153
lgn             RELAY_CELLS                  35     0.3231     0.0152
md              RELAY_CELLS                  50     0.4709     0.0152
mgb             RELAY_CELLS                  35     0.3230     0.0152
pulvinar        RELAY_CELLS                  50     0.4702     0.0152
trn             TRN_GABA                     50    18.4451     0.4132
vpl             RELAY_CELLS                  35     0.3237     0.0152
vpl             LOCAL_INTERNEURONS           35     0.4534     0.0152
vpm             RELAY_CELLS                  35     0.3239     0.0153
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
--------------------------------------------------------------------------------------------------------------
t=0.60s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.1230     0.6339
gpi             GPi_OUTPUT                   25    21.7685     0.7992
snc             DOPAMINERGIC_NEURONS         20     0.1896     0.0153
stn             EXCITATORY_NEURONS           25     0.2296     0.0153
striatum        D1_MSN                       50     0.4750     0.0153
striatum        D2_MSN                       50     0.6541     0.0153
striatum        INTERNEURONS                 50     0.6544     0.0153
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0153
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0132     0.0153
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0948     0.0153
raphe           SEROTONERGIC_NEURONS         10     0.0951     0.0153
vta             DOPAMINERGIC_NEURONS         20     0.1903     0.0153
vta             GABA_INTERNEURONS            20     0.2614     0.0153
cerebellar_cortex GRANULE_CELLS               300     2.8424     0.0153
cerebellar_cortex PURKINJE_CELLS              300     3.9272     0.0153
cerebellar_cortex INTERNEURONS                300     3.9263     0.0153
deep_nuclei     OUTPUT_NEURONS               50     0.4744     0.0153
a1              L4_EXCITATORY               200     1.8969     0.0153
a1              L2_3_PYRAMIDAL              200     2.6150     0.0153
a1              L6_PYRAMIDAL                200     2.6175     0.0153
a1              INTERNEURONS                200     2.6195     0.0153
insula          L2_3_PYRAMIDAL              200     1.8968     0.0153
insula          L5_PYRAMIDAL                200     2.6185     0.0153
insula          INTERNEURONS                200     2.6209     0.0153
m1              L2_3_PYRAMIDAL              200     1.8964     0.0153
m1              L5_PYRAMIDAL                200     2.6149     0.0153
m1              INTERNEURONS                200     2.6206     0.0153
s1              L4_EXCITATORY               200     1.8955     0.0153
s1              L2_3_PYRAMIDAL              200     2.6174     0.0153
s1              L5_PYRAMIDAL                200     2.6179     0.0153
s1              L6_PYRAMIDAL                200     2.6180     0.0153
s1              INTERNEURONS                200     2.6149     0.0153
v1              L4_EXCITATORY               200     1.8957     0.0153
v1              L2_3_PYRAMIDAL              200     2.6186     0.0153
v1              L5_PYRAMIDAL                200     2.6170     0.0153
v1              L6_PYRAMIDAL                200     2.6150     0.0153
v1              INTERNEURONS                200     2.6169     0.0153
ca1             PYRAMIDAL_CELLS             100     0.9483     0.0153
ca1             INTERNEURONS                100     1.3076     0.0153
ca3             PYRAMIDAL_CELLS             150     1.4216     0.0153
ca3             INTERNEURONS                150     1.9656     0.0153
dentate_gyrus   GRANULE_CELLS               150     1.4210     0.0153
dentate_gyrus   INTERNEURONS                150     1.9603     0.0153
subiculum       PYRAMIDAL_CELLS             100     0.9472     0.0153
association_cortex L2_3_PYRAMIDAL              200     1.8958     0.0153
association_cortex L5_PYRAMIDAL_A              200     2.6153     0.0153
association_cortex L5_PYRAMIDAL_B              200     2.6167     0.0153
association_cortex INTERNEURONS                200     2.6134     0.0153
Intralaminar    RELAY_NEURONS                50     0.6536     0.0153
pfc             L2_3_PYRAMIDAL              200     1.8971     0.0153
pfc             L5_POLICY_A                 200     2.6163     0.0153
pfc             L5_POLICY_B                 200     2.6181     0.0153
pfc             L5_PYRAMIDAL_B              200     2.6187     0.0153
pfc             L6_PYRAMIDAL                200     2.6168     0.0153
pfc             INTERNEURONS                200     2.6179     0.0153
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0411     0.0153
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0652     0.0152
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0654     0.0153
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0659     0.0153
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0154
anterior_pituitary THYROTROPES                   1     0.0129     0.0152
anterior_pituitary GONADOTROPES                  1     0.0132     0.0153
anterior_pituitary SOMATOTROPES                  1     0.0130     0.0152
anterior_pituitary LACTOTROPES                   1     0.0130     0.0152
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0154
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0132     0.0153
lgn             RELAY_CELLS                  35     0.3253     0.0153
md              RELAY_CELLS                  50     0.4750     0.0153
mgb             RELAY_CELLS                  35     0.3251     0.0153
pulvinar        RELAY_CELLS                  50     0.4730     0.0153
trn             TRN_GABA                     50    18.5483     0.4157
vpl             RELAY_CELLS                  35     0.3263     0.0153
vpl             LOCAL_INTERNEURONS           35     0.4574     0.0153
vpm             RELAY_CELLS                  35     0.3263     0.0153
--------------------------------------------------------------------------------------------------------------
last: Ready.
> poke ca3 0.2
>>> CMD | t=0.630s | step=63 | poke ca3 0.2

--------------------------------------------------------------------------------------------------------------
t=0.70s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.2278     0.6390
gpi             GPi_OUTPUT                   25    21.9515     0.8065
